destination,duration_days,travelers,hotel_rating,transportation,season,activities_count,food_preference,travel_style,total_budget
Dubai,3,1,3,Flight,Peak,4,Non-Veg,Luxury,109800
Paris,10,2,5,Flight,Shoulder,2,Vegetarian,Budget,549290
Rishikesh,11,1,5,Flight,Off-Peak,27,Non-Veg,Moderate,186780
Singapore,2,3,4,Flight,Shoulder,3,Non-Veg,Budget,228270
Varanasi,3,2,4,Flight,Shoulder,5,Vegetarian,Luxury,63990
Manali,8,2,5,Flight,Off-Peak,20,Fine Dining,Luxury,284880
Manali,2,4,3,Car,Peak,1,Street Food,Moderate,35720
Varanasi,4,6,3,Flight,Shoulder,12,Vegetarian,Luxury,220630
Rishikesh,13,4,2,Train,Shoulder,36,Non-Veg,Luxury,422760
Singapore,14,1,2,Flight,Peak,21,Street Food,Moderate,206780
Bali,13,6,2,Flight,Off-Peak,32,Street Food,Luxury,1230410
Ladakh,4,4,5,Train,Off-Peak,10,Street Food,Luxury,275500
Jaipur,4,8,1,Bus,Peak,3,Non-Veg,Luxury,138360
Manali,8,7,5,Car,Off-Peak,9,Vegetarian,Luxury,813190
Dubai,10,5,3,Flight,Peak,10,Street Food,Budget,559710
Paris,13,5,5,Flight,Peak,33,Vegetarian,Luxury,4704990
Dubai,10,4,2,Flight,Shoulder,25,Non-Veg,Luxury,870250
Rishikesh,2,6,4,Flight,Shoulder,3,Non-Veg,Budget,94500
Bali,3,2,4,Flight,Peak,9,Non-Veg,Budget,160910
Rishikesh,4,5,5,Bus,Shoulder,4,Non-Veg,Luxury,291670
Dubai,12,6,4,Flight,Off-Peak,29,Vegetarian,Budget,981270
Varanasi,2,4,5,Flight,Peak,6,Vegetarian,Budget,78150
Goa,7,2,5,Flight,Off-Peak,16,Non-Veg,Luxury,225700
Bali,11,8,2,Flight,Shoulder,27,Non-Veg,Budget,896890
Andaman,7,7,4,Train,Off-Peak,2,Vegetarian,Budget,265350
Varanasi,14,2,2,Flight,Off-Peak,29,Non-Veg,Moderate,106030
Udaipur,5,2,4,Bus,Off-Peak,2,Vegetarian,Luxury,78600
Goa,3,4,2,Flight,Shoulder,4,Street Food,Budget,58540
Goa,8,5,4,Flight,Off-Peak,24,Street Food,Budget,283220
Jaipur,2,1,3,Flight,Off-Peak,4,Non-Veg,Budget,16290
Manali,4,2,5,Flight,Peak,7,Vegetarian,Luxury,153660
Bali,2,2,4,Flight,Off-Peak,5,Fine Dining,Moderate,148260
Paris,7,4,3,Flight,Shoulder,5,Fine Dining,Moderate,722890
Singapore,3,1,4,Flight,Off-Peak,2,Vegetarian,Luxury,138850
Ladakh,4,6,1,Bus,Shoulder,5,Non-Veg,Moderate,105710
Paris,6,1,5,Flight,Shoulder,4,Non-Veg,Moderate,344720
Manali,13,3,3,Flight,Peak,22,Non-Veg,Luxury,401700
Ladakh,10,8,3,Car,Peak,3,Street Food,Moderate,368600
Varanasi,14,3,3,Flight,Shoulder,36,Street Food,Luxury,288790
Manali,13,3,5,Flight,Shoulder,38,Non-Veg,Moderate,586930
Ladakh,7,1,3,Flight,Peak,4,Fine Dining,Luxury,120720
Andaman,11,3,2,Bus,Peak,27,Vegetarian,Budget,224290
Varanasi,14,7,2,Flight,Off-Peak,7,Street Food,Budget,231010
Jaipur,5,8,3,Flight,Peak,4,Vegetarian,Luxury,318090
Varanasi,6,2,3,Flight,Off-Peak,13,Fine Dining,Budget,67840
Ladakh,4,5,1,Flight,Shoulder,6,Fine Dining,Moderate,167140
Rishikesh,3,7,5,Flight,Peak,7,Vegetarian,Luxury,471740
Rishikesh,12,4,3,Flight,Off-Peak,22,Fine Dining,Luxury,533120
Paris,6,5,4,Flight,Shoulder,13,Fine Dining,Luxury,1674990
Andaman,12,7,2,Train,Shoulder,26,Vegetarian,Moderate,533170
Andaman,14,6,4,Flight,Off-Peak,14,Street Food,Luxury,866180
Manali,6,6,1,Bus,Peak,10,Non-Veg,Budget,112340
Goa,5,8,5,Bus,Peak,8,Street Food,Luxury,758270
Paris,13,7,4,Flight,Shoulder,16,Non-Veg,Luxury,3472800
Singapore,14,2,4,Flight,Peak,12,Street Food,Budget,442640
Manali,9,3,4,Train,Off-Peak,20,Fine Dining,Moderate,256830
Paris,10,7,5,Flight,Shoulder,29,Non-Veg,Luxury,4885610
Udaipur,6,4,3,Bus,Off-Peak,16,Non-Veg,Moderate,142480
Paris,6,4,3,Flight,Shoulder,11,Vegetarian,Budget,602810
Andaman,13,3,2,Flight,Shoulder,22,Street Food,Moderate,232570
Andaman,8,1,5,Flight,Peak,12,Fine Dining,Moderate,286590
Andaman,10,4,4,Flight,Shoulder,16,Vegetarian,Moderate,383260
Dubai,14,7,2,Flight,Shoulder,9,Vegetarian,Moderate,821320
Dubai,2,2,4,Flight,Peak,4,Non-Veg,Budget,112780
Varanasi,5,8,3,Flight,Shoulder,5,Street Food,Moderate,192560
Udaipur,2,1,3,Flight,Peak,6,Vegetarian,Budget,21100
Jaipur,2,3,2,Flight,Off-Peak,1,Non-Veg,Moderate,42940
Singapore,7,3,5,Flight,Off-Peak,4,Non-Veg,Moderate,583850
Goa,6,7,4,Car,Peak,3,Non-Veg,Budget,304710
Ladakh,12,2,5,Bus,Shoulder,35,Street Food,Luxury,542730
Rishikesh,12,6,1,Bus,Shoulder,7,Street Food,Moderate,158780
Udaipur,13,3,4,Flight,Off-Peak,18,Street Food,Moderate,306850
Paris,11,5,3,Flight,Peak,6,Fine Dining,Moderate,1218850
Udaipur,11,7,3,Flight,Shoulder,12,Street Food,Budget,345520
Ladakh,7,5,5,Train,Shoulder,18,Vegetarian,Luxury,915940
Manali,5,7,4,Train,Peak,12,Street Food,Luxury,440850
Udaipur,14,1,1,Flight,Shoulder,16,Fine Dining,Luxury,128440
Udaipur,10,6,4,Car,Off-Peak,11,Fine Dining,Luxury,716100
Ladakh,6,4,1,Train,Shoulder,4,Non-Veg,Budget,68640
